a couple of,[ə ˈkəpəl əv],一对；几个,"Once you were in the house, there would be one main room and a couple of small rooms for storage",一旦你进入房子，就会有一个主房间和几个用于储藏的小房间
a dozen of,[ə ˈdəzən əv],一打,,
a fraction of,[ə ˈfrækʃən əv],一部分,"When researchers look really carefully at the DNA in Chromosomes though, they were amazed, we all were, to find that only a fraction of it, maybe 20-30%, converts into meaningful genetic information",然而，当研究人员仔细观察染色体中的 DNA 时，我们都感到惊讶，发现只有一小部分（可能是 20-30%）转化为有意义的遗传信息
a great deal of,[ə greɪt dil əv],大量,"[E] It is now believed that the process of colonization required a great deal of skill,  determination, and planning and could not have happened by chance",[E] 现在人们相信，殖民化的过程需要大量的技巧、决心和计划，不可能是偶然发生的
a handful of,[ə ˈhændˌfʊl əv],火少数；一小撮,"Exhibitors, however, wanted to maximize their profits, which they could do more readily by projecting a handful of films to hundreds of customers at a time (rather than one at a time) and by charging 25 to 50 cents admission",然而，影院经营者希望实现利润最大化，他们可以通过同时向数百名顾客放映几部电影（而不是一次只放映一位顾客）并收取 25 到 50 美分的入场费来更轻松地实现利润最大化
a host of,[ə hoʊst əv],许多；大量,Yet this most fundamental standard of historical periodization conceals a host of paradoxes,然而，这种最基本的历史分期标准却隐藏着许多悖论
a large number of,[ə lɑrʤ ˈnəmbər əv],大量的,It allows researchers to observe the growth of a large number of plants simultaneously,它允许研究人员同时观察大量植物的生长
a large proportion of,[ə lɑrʤ prəˈpɔrʃən əv],大部分的,"Although a small proportion of the total population, this perhaps had a massive local impact when a large proportion of the young men were removed from an area",虽然只占总人口的一小部分，但当大部分年轻人被从一个地区带走时，这可能会对当地产生巨大的影响
a large quantity of,[ə lɑrʤ kˈwɑntəti əv], 大量的,This topic asks you to assess the value of the access to a large quantity of information that the Internet provides us with these days,本主题要求您评估当今互联网为我们提供的大量信息的访问价值
a majority of,[ə məˈʤɔrəti əv],大多数的；大部分的,"A maritime code known as the Consulate of the Sea, which originated in the western Mediterranean region in the fourteenth century, won acceptance by a majority of sea goers as the normative code for maritime conduct; it defined such matters as the authority of a ship's officers, protocols of command, pay structures, the rights of sailors, and the rules of engagement when ships met one another on the sea-lanes",14世纪起源于地中海西部地区的海事法典“海洋领事馆”，作为海上行为的规范性准则，被广大航海者所接受；它定义了船舶高级官员的权力、指挥协议、薪酬结构、水手的权利以及船舶在海上航线上相遇时的交战规则等事项
a mass of,[ə mæs əv],大量的,"So, well, the echoes from a tree are going to a mass of chaotic acoustic reflections, right, not like the echo from a moth",那么，树发出的回声会变成一团混乱的声学反射，对吧，不像飞蛾发出的回声
a mix of,[ə mɪks əv],......的混合,"Youremember those criteria we discussed last week? Anyway, this explains why most marketers today rely on a mix of congruent and incongruent media",您还记得我们上周讨论的那些标准吗？无论如何，这解释了为什么当今大多数营销人员依赖一致和不一致媒体的混合
a multitude of,[ə ˈməltəˌtud əv],许多；大量,"Because the medium was so prolific, in the sense that it was possible to produce a multitude of images very cheaply, it was soon treated as the poor relation of fine art, rather than its destined successor",由于这种媒介是如此多产，从某种意义上说，它可以非常便宜地生产大量图像，因此它很快就被视为美术的穷亲戚，而不是它注定的继承者
a portion of,[ə ˈpɔrʃən əv],......的一部分,"In fact, franchise owners have to pay a portion of their income to the parent company in return for advertising services",事实上，特许经营权所有者必须向母公司支付部分收入，以换取广告服务
a range of,[ə reɪnʤ əv],一系列；一些；一套,"The Chinese themselves adapted many specific vessel forms from the West, such as bottles with long spouts, and designed a range of decorative patterns especially for the European market",中国人自己改编了许多来自西方的特定容器形式，例如长嘴瓶子，并专门针对欧洲市场设计了一系列装饰图案
a sense of,[ə sɛns əv],一种......的感党,"The  traditional encyclopedia provides a considered view of what topics to include or exclude and  contains a sense of proportion that on line ""democratic"" communal encyclopedias do not",传统的百科全书对包含或排除哪些主题提供了经过深思熟虑的观点，并且包含了在线“民主”公共百科全书所没有的比例感。
a series of,[ə ˈsɪriz əv],一系列,"Within a few weeks in 1609 and 1610 , he made a series of astron omical discoveries that marked a new era in astronomy",在1609年和1610年的几周内，他做出了一系列天文学发现，标志着天文学的新纪元。
a set of,[ə sɛt əv],一套；一组；一副,"So, Watson made the argument that problem solving, or thinking, can be defined as a set of behaviors—a set of responses—and in this case the response he observed was the throat activity",因此，沃森提出了这样的论点：解决问题或思考可以被定义为一组行为——一组反应——在这种情况下，他观察到的反应是喉咙活动
a small fraction of,[ə smɔl ˈfrækʃən əv],一小部分,"But only a small fraction of groundwater enters the hydrological cycle-feed ing the flows of streams, maintaining lake levels, and being recharged (or refilled) through surface flows and rainwater",但只有一小部分地下水进入水文循环——供给溪流、维持湖泊水位，并通过地表水流和雨水进行补给（或补充）
a small proportion of,[ə smɔl prəˈpɔrʃən əv],小比例,"Although a small proportion of the total population, this perhaps had a massive local impact when a large proportion of the young men were removed from an area",虽然只占总人口的一小部分，但当大部分年轻人被从一个地区带走时，这可能会对当地产生巨大的影响
a small segment of,[ə smɔl ˌsɛgˈmɛnt əv],一小部分,But a small segment of the urban society started to specialize in nonagricultural tasks as a result of the city’s role as a regional center,但由于城市作为区域中心的作用，一小部分城市社会开始专门从事非农业任务
a sort of,[ə sɔrt əv],一种；有点儿,"But actually, he ties that in with a sort of 'universal truth' – something that everyone knows but doesn't realize they know",但实际上，他将这一点与一种“普遍真理”联系起来——每个人都知道但没有意识到自己知道的东西
a string of,[ə strɪŋ əv],一串；一系列,,
a total of,[ə ˈtoʊtəl əv],总共,"For instance, the Galapagos island chain has a total of thirteen species of closely related birds called Galapagos finches",例如，加拉帕戈斯群岛共有 13 种密切相关的鸟类，称为加拉帕戈斯雀
a variety of,[ə vərˈaɪəti əv],各种各样的；形形色色的；,[C] She had a variety of emotional reactions to the play,[C] 她对这部剧有多种情绪反应
a wealth of,[ə wɛlθ əv],很多；大量的,"More resources and viewpoints than ever before are now within reach of most people, including children, because technology has provided us with new ways to access such a wealth of information; this exposure can lead to enhanced creativity",现在，包括儿童在内的大多数人都可以获得比以往更多的资源和观点，因为技术为我们提供了获取如此丰富的信息的新方法；这种接触可以增强创造力
abandon oneself to,[əˈbændən ˌwənˈsɛlf tɪ],沉溺于,,
abide by,[əˈbaɪd baɪ],恪守；遵守,,
abound in,[əˈbaʊnd ɪn],富于；盛产,,
above all,[əˈbəv ɔl],首先；最重要的是,,
absence of mind,[ˈæbsəns əv maɪnd],心不在焉,,
access to,[ˈækˌsɛs tɪ],通向......的入口；接近,[D] It gave many people greater access to the arts,[D]它让许多人有更多机会接触艺术
accord with,[əˈkɔrd wɪθ],与......相符合；与......相一致,,
account for,[əˈkaʊnt fər],对......做出解释；（数量、比例上）占,How might this inability to recall early experiences be explained? The sheer passage of time  does not account for it; adults have excellent recognition of pictures of people who attended  high school with them 35 years earlier,如何解释这种无法回忆起早期经历的现象？单纯的时间流逝并不能解释这一点。成年人对 35 年前和他们一起上高中的人的照片有很好的辨识度
accuse sb. of,[əˈkjuz sb*. əv],因......而谴责某人,,
accustom...to...,[accustom...to*...],使......习惯于......,To acknowledge that she is accustomed to living in big cities,承认她习惯了大城市的生活
act as,[ækt ɛz],担当,"And even though Bashkirtseff could not study in the same classes as men, she was having an impact as an artist",尽管巴什基尔采夫无法与男性在同一班级学习，但她作为一名艺术家正在产生影响
act on,[ækt ɔn],对......起作用；接照......行事,[E] Petroleum extraction can have a negative impact on the environment,[E] 石油开采会对环境产生负面影响
adapt (oneself) to,[əˈdæpt (ˌwənˈsɛlf) tɪ],使（自己）适应,,
add to,[æd tɪ],增加；增添；补充,"Sometimes original art works appear questionable or inauthentic because they've had so many restorers add touch-up layers to cover up damage, damage from the paint having deteriorated over time",有时，原创艺术作品看起来有问题或不真实，因为许多修复师添加了修补层来掩盖损坏，而油漆随着时间的推移而损坏造成的损坏
add up to,[æd əp tɪ],合计；总计,But there are lots of other little things that can add up to more work,但还有很多其他小事情可能会增加更多的工作量
addict oneself to,[ˈæˌdɪkt ˌwənˈsɛlf tɪ],对......上瘾；沉迷于,,
adhere to,[əˈdhɪr tɪ],附着；遵守；坚持,Traditional encyclopedias are written by trained experts who adhere to standards of  academic rigor that nonspeci alists cannot really achieve,传统的百科全书是由训练有素的专家编写的，他们遵循非专业人士无法真正达到的学术严谨标准
adjust to,[əˈʤəst tɪ],调整以适应,"Over time, however, each group was able to adjust to life in the city and to find a place for itself in the urban economy",然而，随着时间的推移，每个群体都能够适应城市生活，并在城市经济中找到自己的位置
afford to do sth.,[əˈfɔrd tɪ du sth*.],负担得起做某事,Smaller European producers were often unable to afford to add sound to their films,较小的欧洲制片人往往无力承担为电影添加声音的费用
after all,[ˈæftər ɔl],毕竟,"Pro: Maybe, but you know it's hard to tell for sure after all this time, if Ida Tacke's group did discover element 43",Pro：也许吧，但你知道，经过这么长时间，很难确定 Ida Tacke 的团队是否真的发现了 43 号元素
agree on/upon,[əˈgri on/upon*],对......取得一致意见,,
agree to do sth.,[əˈgri tɪ du sth*.],同意做某事,"When it comes to reading, many high school students agree to refer to ""notes"" sites instead of reading a complete book assigned by their teachers",在阅读方面，许多高中生同意参考“笔记”网站，而不是阅读老师布置的完整书籍
ahead of,[əˈhɛd əv],在......之前；早于,"First of all, Painlevé was about 20 years ahead of Cousteau",首先，Painlevé 比 Cousteau 领先大约 20 年
aim at,[eɪm æt],瞄准；对准；旨在；力求,,
aim to,[eɪm tɪ],打算；目标在于......；以......目,They'll claim to hear that word even though it was never said,他们会声称听到过这个词，即使它从未被说过
align with,[əˈlaɪn wɪθ],与......结盟；与.......一致,,
all at once,[ɔl æt wəns],突然；同时；一起,"I didn't present them all at once, because that would've been too complicated",我没有一次性把它们全部呈现出来，因为那太复杂了
all but,[ɔl bət],几乎；差一点；除......之外都,"In all but the remotest regions of the empire,",除了帝国最偏远的地区之外，
all in all,[ɔl ɪn ɔl],总而言之,,
all over again,[ɔl ˈoʊvər əˈgɛn],从头开始；重新,"The Phosphorus at the bottom of the ocean has to somehow make its way back to the surface, to complete the cycle, to begin the cycle all over again",海底的磷必须以某种方式返回表面，完成循环，重新开始循环
all year round,[ɔl jɪr raʊnd],全年,"Properly speaking, tropical rainforests grow in high-rainfall equatorial areas that remain wet or humid all year round",正确地说，热带雨林生长在降雨量高的赤道地区，全年保持湿润或潮湿
allow for,[əˈlaʊ fər],考虑到；顾及；将......计算在内,"Dinosaurs' bones contained Haversian canals, structures that allow for fast bone growth and, again, are typical of endotherms",恐龙的骨骼包含哈弗氏管，这种结构允许骨骼快速生长，并且也是典型的恒温动物
allow...to...,[allow...to*...],允许......做......,"The paintings were located where many people could easily see them, allowing groups of people to participate in the magical-religious activities",这些画作位于许多人可以轻松看到的地方，使人们能够参与魔法宗教活动
allude to sb./sth.,[əˈlud tɪ sb./sth*.],暗指；间接提到,,
along with,[əˈlɔŋ wɪθ],沿（顺）着；连同......一起；与......一道；除了......,"During a geologically brief 100-million-year period, all modern animal  groups (along with other animals that are now extinct) evolved",在地质学上短暂的一亿年期间，所有现代动物群体（以及现已灭绝的其他动物）都进化了
amount to,[əˈmaʊnt tɪ],总计；总数为,"I mean, this method is not only costly but it's … well even if it's successful, it still fails to address the ongoing problem, the root causes of the degradation, which really is paramount to devising an effective solution",我的意思是，这种方法不仅成本高昂，而且……即使成功，它仍然无法解决持续存在的问题，即退化的根本原因，而这对于设计有效的解决方案来说确实至关重要
amounts of,[əˈmaʊnts əv],大量的,The North Slope of Alaska has substantial amounts of oil,阿拉斯加北坡蕴藏大量石油
an abundance of,[ən əˈbəndəns əv],大量的,"[F] Although the reasons for the rapid evolution of animals during the Cambrian period are not  known, one proposed explanation is an abundance of niches with a lack of competitors",[F]虽然寒武纪动物快速进化的原因尚不清楚，但提出的一种解释是生态位丰富而缺乏竞争者
an account of,[ən əˈkaʊnt əv],描述；记录,,
an array of,[ən əreɪ əv],一系列；大量；一排,"At the site in Kuk, they used an array of modern archaeological methods to analyze sediment samples from the soil, from the oldest soil layer, dating back ten thousand years, they found evidence of pits, stake coals and ditches",在库克遗址，他们使用一系列现代考古方法分析了土壤中的沉积物样本，从可追溯到一万年前的最古老的土层中，他们发现了坑、煤桩和沟渠的证据
and so forth,[ənd soʊ fɔrθ],等等；诸如此类,"The computer is in continuous contact with a global positioning system and other technologies that will provide extremely accurate information about the location of the car, other cars on the road, congestion, accidents, and so forth",计算机与全球定位系统和其他技术持续联系，提供有关汽车位置、道路上其他汽车、拥堵、事故等的极其准确的信息
anything but,[ˈɛniˌθɪŋ bət],除......以外任何事物都；根本不,But I'm gonna show you some slides in a few minutes and I think you will agree with me that this art is anything but primitive,但几分钟后我将向您展示一些幻灯片，我想您会同意我的观点，即这种艺术绝不是原始的
apart from,[əˈpɑrt frəm],远离；除......之外,"He does provide a reason for his opinion that children should be able to watch whatever they want: that they can tell real things apart from ""not real things",他确实为他的观点提供了一个理由，即孩子们应该能够观看他们想看的任何内容：他们可以区分真实的事物和“不真实的事物”
appeal to,[əˈpil tɪ],对（某人）有吸引力；向......上诉；恳求,"A commercia l  shown during young people's programming, such  as a music show, would appeal to their interests,  and would show how the phone is fun",在年轻人的节目（例如音乐节目）中播放的商业广告会吸引他们的兴趣，并展示手机的乐趣
approve of,[əˈpruv əv],赞成；批准,Most artists approve of the ways in which the government supports the arts,大多数艺术家都赞同政府支持艺术的方式
argue against,[ˈɑrgju əˈgɛnst],反对,To argue against the hypothesis that yawning provides a special way to improve alertness or raise physiological activity,反对打哈欠提供了一种提高警觉性或提高生理活动的特殊方式的假设
arise from,[əraɪz frəm],由......引起；起因于,,
around the corner,[əraʊnd ðə ˈkɔrnər],即将来临；在附近,"For instance, suppose you say you would really love to have a cup of coffee right now, and I say 'there's a shop around the corner'",例如，假设你说你现在真的很想喝杯咖啡，我说“拐角处有一家商店”
as...as possible,[as...as* ˈpɑsəbəl],尽可能,"When the preparation time is up, answer the question as completely as possible in the time indicated for that question",准备时间到后，在该问题指定的时间内尽可能完整地回答该问题
as a consequence,[ɛz ə ˈkɑnsəkwəns],因此；结果,"If you agree with the stateme nt and believe that technology stifles children's creativit y, you might support that by explaining how the computer keeps kids in the home and away from other kids; the abilit y to deploy communication skills in face-to-face situations, suffers as a consequence, and this in turn hinders the development of creativit y",如果您同意这种说法，并认为技术会扼杀孩子的创造力，您可以通过解释计算机如何让孩子们呆在家里并远离其他孩子来支持这一观点；在面对面的情况下运用沟通技巧的能力会因此受到影响，进而阻碍创造力的发展
as a matter of fact,[ɛz ə ˈmætər əv fækt],事实上,"Professor Well, as a matter of fact, a lot of politicians who did not believe in government support for the arts, they wanted to do away with the agency entirely, for that very reason, to get rid of governmental support",教授：事实上，很多政客不相信政府会支持艺术，他们想完全废除这个机构，就是因为这个原因，摆脱政府的支持
as a rule,[ɛz ə rul],通常；照例,,
as a whole,[ɛz ə hoʊl],总的来说；作为整体,A mandatory policy requiring companies to offer their employees the option of working a four-day workweek for four-fifths (80 percent) of their normal pay would benefit the economy as a whole as well as the individual companies and the employees who decided to take the option,一项强制性政策要求公司为员工提供每周工作四天的选择，工资为正常工资的五分之四（80%），这将有利于整个经济以及个别公司和决定采取这种做法的员工。选项
as follows,[ɛz ˈfɑloʊz],如下,Use of the land in natural areas follows a consistent pattern but is generally unplanned,自然区域的土地使用遵循一致的模式，但通常是无计划的
as for,[ɛz fər],关于；至于,"The final step came when steam was introduced into  the cylinder to drive the piston backward as well as forward, thereby increasing the speed of the  engine and cutting its fuel consumption",最后一步是将蒸汽引入气缸以驱动活塞前后移动，从而提高发动机的速度并降低燃油消耗
as if/though,[ɛz if/though*],好像；仿佛,,
as long as,[ɛz lɔŋ ɛz],只要；如果；既然,You can skip questions and go back to them later as long as there is time remaining,只要还有剩余时间，您就可以跳过问题并稍后再返回
as opposed to,[ɛz əˈpoʊzd tɪ],与......截然相反；相对于,"There appear to be many unexplored matters about the motivation to reflect-for example, the value of externally motivated reflection as opposed to that of teachers who might reflect by habit",关于反思的动机，似乎还有许多未探索的问题，例如，外部动机的反思的价值，与教师可能习惯性的反思的价值
as regards,[ɛz rɪˈgɑrdz],至于；关于,It was regards as unnecessary for texts that were actively being used,对于正在使用的文本来说，这被认为是不必要的
as soon as,[ɛz sun ɛz],一......就......,"Speculation on the origin of these Pacific islanders began as soon as outsiders encountered  them; in the absence of solid linguistic, archaeological, and biological data, many fanciful and  mutually exclusive theories were devised",当外来者一遇到这些太平洋岛民，关于他们的起源的猜测就开始了。在缺乏可靠的语言学、考古学和生物学数据的情况下，人们设计出了许多奇特且相互排斥的理论
as such,[ɛz səʧ],同样地；本身；就其本身而论,""" Park and Burgess based their model of urban growth on the concept of ""natural areas""­that is, areas such as occupational suburbs or residentia l enclaves in which the population is relatively homogene ous and land is used in similar ways without deliberate planning",帕克和伯吉斯将他们的城市增长模型建立在“自然区域”概念的基础上，即诸如职业郊区或住宅飞地之类的区域，其中人口相对同质，并且土地以相似的方式使用，而没有经过刻意的规划。
as well,[ɛz wɛl],也,[A] Petroleum formation is the result of biological as well as chemical activity,[A] 石油形成是生物和化学活动的结果
as well as,[ɛz wɛl ɛz],也；和......一样；不但......而且......,[A] Petroleum formation is the result of biological as well as chemical activity,[A] 石油形成是生物和化学活动的结果
aside from,[əˈsaɪd frəm],除......以外,,
ask...over,[ask...over*],邀清......来家里,The development of the oil field on the North Slope of Alaska and the construction of the Alaska pipeline are examples of the great expense and difficulty involved in new oil discoveries,阿拉斯加北坡油田的开发和阿拉斯加管道的建设就是新石油发现耗资巨大、难度大的例子
ask around,[æsk əraʊnd],四处打听,,
assign...to...,[assign...to*...],将......分配给......；指定......给,"At one time, the animals present in these fossil beds were assigned to various  modern animal groups, but most paleontologists now agree that all Tommotian fossils represent  unique body forms that arose in the early Cambrian period and disappeared before the end of the  period, leaving no descendants in modern animal groups",曾经，这些化石床中存在的动物被分配到各种现代动物类群中，但大多数古生物学家现在都同意，所有托莫蒂安化石都代表了寒武纪早期出现的独特身体形态，并在该时期结束之前消失了，没有留下任何痕迹。现代动物群体的后代
assist in,[əˈsɪst ɪn],协助；帮助,"Long and often lyrical descriptions of the different types of ware exist that assist in classifying pots, although these sometimes confuse an already large and complicated picture",对不同类型器皿的长篇且经常抒情的描述有助于对罐子进行分类，尽管这些描述有时会混淆已经很大且复杂的图片
at a loss,[æt ə lɔs],困惑；不知所措,,
at all costs,[æt ɔl kɔsts], 不惜任何代价；无论如何,,
at all events,[æt ɔl ɪˈvɛnts], 无论如何,,
at an average of,[æt ən ˈævərɪʤ əv],平均,,
at any rate,[æt ˈɛni reɪt],无论如何；不管怎样；反正,,
at cost,[æt kɔst],按成本；照原价,"Task 6 If a consumer has to choose between two products, what determines the choice? Assume that someone, a purchaser, is choosing between two products that cost the same",任务 6 如果消费者必须在两种产品之间做出选择，那么什么决定了他们的选择？假设某人（购买者）正在两种价格相同的产品之间进行选择
at distance,[æt ˈdɪstəns],在远处,Further evidence for persistent internal rhythms appears when the usual external cycles are shifted-either experimentally or by rapid east-west travel over great distances,当通常的外部周期发生变化时（无论是通过实验还是通过长距离的快速东西向移动），就会出现持久内部节律的进一步证据。
at ease,[æt iz],女逸；自由自在,,
at every turn,[æt ˈɛvəri tərn],每次；处处；总是,,
at first glance,[æt fərst glæns],第一眼；乍一看,Much of the potential for European economic development lay in what at first glance would seem to have been only sleepy villages,欧洲经济发展的大部分潜力在于那些乍一看似乎只是沉睡的村庄
at hand,[æt hænd],在手边；即将到来,"These  problems needed still another solution, and the ingredients for it lay close at hand",这些问题还需要另一种解决方案，而解决方案的要素就在眼前
at intervals,[æt ˈɪntərvəlz],时时；不时；每隔一段距离（或时间）,,
at issue,[æt ˈɪʃu],在讨论中；有待解决,So I think it's safe to say that that issues has been settled,所以我认为可以肯定地说问题已经解决
at large,[æt lɑrʤ],详尽的；未被捕的；整个的；一般的,"It may sound plausible that large empty rooms were used for storage, but excavations of the great houses have not uncovered many traces of maize or maize containers",大的空房间被用来储存，这听起来似乎有道理，但对大房子的挖掘并没有发现许多玉米或玉米容器的痕迹
at last,[æt læst],最后；最终,that lasts only brie fly,只持续布里蝇
at least,[æt list],至少；不管怎样；无论如何,"The early Australians may have painted on the walls of rock shelters and cliff faces at least 30,000 years ago, and maybe as much as 60,000 years ago",早期的澳大利亚人可能至少在 3 万年前，甚至早在 6 万年前就在岩石庇护所的墙壁和悬崖面上进行了绘画。
at length,[æt lɛŋθ],最后；终于；详细地,"Well, over that length of time, forecasts become more uncertain",好吧，随着时间的推移，预测变得更加不确定
at most,[æt moʊst],至多,She is frustrated that most of her students are unaware of the phenomenon,她感到沮丧的是，她的大多数学生都没有意识到这一现象
at no time,[æt noʊ taɪm],从不；绝不,,
at odds (with),[æt ɑdz (wɪθ)],（与......）不一致；（与......）有矛盾,,
at once,[æt wəns],同时；立刻,He put the device to astronomical use at once,他立即将这个装置投入了天文数字的用途
at one point,[æt wən pɔɪnt],一度；在某处；在某种程度上；在某一时刻,"For example, one major discovery was that at one point water was present on Mars",例如，一项重大发现是火星上曾经存在过水
at one time,[æt wən taɪm],同时；曾经；一度,process a lot of information at one time,一次处理大量信息
at one's convenience,[æt wənz kənˈvinjəns],在某人方便时,"Research shows that consumers don't want to let go off any traditional product attributes, like convenience, price and quality",研究表明，消费者不想放弃任何传统的产品属性，例如便利性、价格和质量
at one's disposal,[æt wənz dɪˈspoʊzəl],供某人使用；由某人支配,The kings of France used every means at their disposal to push the lower border of their kingdom to the Mediterranean shoreline,法国国王使用一切手段将王国的下边界推进到地中海海岸线
at one's expense,[æt wənz ɪkˈspɛns],由某人付费,"The department has decided that despite some added expense, the most cost-effective way of addressing this problem is by adding computer classes in the evening",该部门决定，尽管增加了一些费用，但解决这个问题最经济有效的方法是在晚上增加计算机课程
at random,[æt ˈrændəm],胡乱地；随机地,Spores light enough to float on the breezes were carried thousands of miles from more ancient lands and deposited at random across the bare mountain flanks,孢子轻到可以随风飘浮，从更古老的土地被带到数千英里之外，随机沉积在光秃秃的山坡上
at stake,[æt steɪk],处于危险境地；处于成败关头,The only thing at stake is your grade,唯一重要的是你的成绩
at the beginning of,[æt ðə bɪˈgɪnɪŋ əv],起初；在......的开始,"According to paragraph 1, which of the following best characterizes the societies in European lands close to the Mediterranean Sea at the beginning of the twelfth century?",根据第一段，下列哪项最能描述 12 世纪初欧洲靠近地中海地区的社会特征？
at the edge of,[æt ðə ɛʤ əv],在......的边缘,"They found this site at the edge of a desert in Turkmenistan, in central Asia, where a series of mounds rise up from the plains",他们在中亚土库曼斯坦的沙漠边缘发现了这个地点，那里的平原上矗立着一系列土丘
at the end of,[æt ðə ɛnd əv],在......的尽头；在......结束时,"Starting this year, the university dining hall will be transformed into The Campus Dining  Club for one week at the end of each semester",从今年开始，大学食堂将改造成校园餐饮俱乐部，每学期末为期一周
at the expense/cost of,[æt ðə expense/cost* əv],以......为代价,,
at the forefront of,[æt ðə ˈfɔrˌfrənt əv],处于最前沿,,
at the mercy of,[æt ðə ˈmərsi əv],受......支配；受......摆布,"If true, though, why did cold-blooded animals such as snakes, lizards, turtles, and crocodiles survive the freezing winters and torrid summers? These animals are at the mercy of the climate to maintain a livable body temperature",但如果这是真的，为什么蛇、蜥蜴、乌龟和鳄鱼等冷血动物能够熬过寒冷的冬天和炎热的夏天呢？这些动物受气候的支配来维持适宜生存的体温
at the outset,[æt ðə ˈaʊtˌsɛt],一开始；当初,,
at the thought of,[æt ðə θɔt əv],一想到,,
at the top of,[æt ðə tɔp əv],在顶部,And you probably notice that there's an abstract or summary at the top of the first page of the article you copied,您可能会注意到您复制的文章第一页顶部有一个摘要或摘要
at this point,[æt ðɪs pɔɪnt],这时候；此时此刻；在这一点上,Another seemingly plausible explanation-that infants do  not form enduring memories at this point in development-also is incorrect,另一种看似合理的解释——婴儿在发育的这个阶段不会形成持久的记忆——也是不正确的
at times,[æt taɪmz],有时；偶尔,"He does speak very quickly at times, but he shows that he is able to communicate without too many pauses to search for words",他有时确实说得很快，但他表现出他能够在没有太多停顿来寻找单词的情况下进行交流
at will,[æt wɪl],随意；任意,"The  school feels that this will give students who are studying cooking and food preparation  valuable experience that will help them later, when they pursue careers",学校认为这将为学习烹饪和食品准备的学生提供宝贵的经验，对他们以后追求职业生涯有帮助
