a set of,[ə sɛt əv],一套；一组；一副,"So, Watson made the argument that problem solving, or thinking, can be defined as a set of behaviors—a set of responses—and in this case the response he observed was the throat activity"
a small fraction of,[ə smɔl ˈfrækʃən əv],一小部分,"But only a small fraction of groundwater enters the hydrological cycle-feed ing the flows of streams, maintaining lake levels, and being recharged (or refilled) through surface flows and rainwater"
a small proportion of,[ə smɔl prəˈpɔrʃən əv],小比例,"Although a small proportion of the total population, this perhaps had a massive local impact when a large proportion of the young men were removed from an area"
a small segment of,[ə smɔl ˌsɛgˈmɛnt əv],一小部分,But a small segment of the urban society started to specialize in nonagricultural tasks as a result of the city’s role as a regional center
a sort of,[ə sɔrt əv],一种；有点儿,"But actually, he ties that in with a sort of 'universal truth' – something that everyone knows but doesn't realize they know"
a string of,[ə strɪŋ əv],一串；一系列,
a total of,[ə ˈtoʊtəl əv],总共,"For instance, the Galapagos island chain has a total of thirteen species of closely related birds called Galapagos finches"
a variety of,[ə vərˈaɪəti əv],各种各样的；形形色色的；,[C] She had a variety of emotional reactions to the play
a wealth of,[ə wɛlθ əv],很多；大量的,"More resources and viewpoints than ever before are now within reach of most people, including children, because technology has provided us with new ways to access such a wealth of information; this exposure can lead to enhanced creativity"
abandon oneself to,[əˈbændən ˌwənˈsɛlf tɪ],沉溺于,
abide by,[əˈbaɪd baɪ],恪守；遵守,
abound in,[əˈbaʊnd ɪn],富于；盛产,
above all,[əˈbəv ɔl],首先；最重要的是,
absence of mind,[ˈæbsəns əv maɪnd],心不在焉,
access to,[ˈækˌsɛs tɪ],通向......的入口；接近,[D] It gave many people greater access to the arts
accord with,[əˈkɔrd wɪθ],与......相符合；与......相一致,
account for,[əˈkaʊnt fər],对......做出解释；（数量、比例上）占,How might this inability to recall early experiences be explained? The sheer passage of time  does not account for it; adults have excellent recognition of pictures of people who attended  high school with them 35 years earlier
accuse sb. of,[əˈkjuz sb*. əv],因......而谴责某人,
accustom...to...,[accustom...to*...],使......习惯于......,To acknowledge that she is accustomed to living in big cities
act as,[ækt ɛz],担当,"And even though Bashkirtseff could not study in the same classes as men, she was having an impact as an artist"
act on,[ækt ɔn],对......起作用；接照......行事,[E] Petroleum extraction can have a negative impact on the environment
adapt (oneself) to,[əˈdæpt (ˌwənˈsɛlf) tɪ],使（自己）适应,
add to,[æd tɪ],增加；增添；补充,"Sometimes original art works appear questionable or inauthentic because they've had so many restorers add touch-up layers to cover up damage, damage from the paint having deteriorated over time"
add up to,[æd əp tɪ],合计；总计,But there are lots of other little things that can add up to more work
addict oneself to,[ˈæˌdɪkt ˌwənˈsɛlf tɪ],对......上瘾；沉迷于,
adhere to,[əˈdhɪr tɪ],附着；遵守；坚持,Traditional encyclopedias are written by trained experts who adhere to standards of  academic rigor that nonspeci alists cannot really achieve
adjust to,[əˈʤəst tɪ],调整以适应,"Over time, however, each group was able to adjust to life in the city and to find a place for itself in the urban economy"
afford to do sth.,[əˈfɔrd tɪ du sth*.],负担得起做某事,Smaller European producers were often unable to afford to add sound to their films
after all,[ˈæftər ɔl],毕竟,"Pro: Maybe, but you know it's hard to tell for sure after all this time, if Ida Tacke's group did discover element 43"
agree on/upon,[əˈgri on/upon*],对......取得一致意见,
agree to do sth.,[əˈgri tɪ du sth*.],同意做某事,"When it comes to reading, many high school students agree to refer to ""notes"" sites instead of reading a complete book assigned by their teachers"
ahead of,[əˈhɛd əv],在......之前；早于,"First of all, Painlevé was about 20 years ahead of Cousteau"
aim at,[eɪm æt],瞄准；对准；旨在；力求,
aim to,[eɪm tɪ],打算；目标在于......；以......目,They'll claim to hear that word even though it was never said
align with,[əˈlaɪn wɪθ],与......结盟；与.......一致,
all at once,[ɔl æt wəns],突然；同时；一起,"I didn't present them all at once, because that would've been too complicated"
all but,[ɔl bət],几乎；差一点；除......之外都,"In all but the remotest regions of the empire,"
all in all,[ɔl ɪn ɔl],总而言之,
all over again,[ɔl ˈoʊvər əˈgɛn],从头开始；重新,"The Phosphorus at the bottom of the ocean has to somehow make its way back to the surface, to complete the cycle, to begin the cycle all over again"
all year round,[ɔl jɪr raʊnd],全年,"Properly speaking, tropical rainforests grow in high-rainfall equatorial areas that remain wet or humid all year round"
allow for,[əˈlaʊ fər],考虑到；顾及；将......计算在内,"Dinosaurs' bones contained Haversian canals, structures that allow for fast bone growth and, again, are typical of endotherms"
allow...to...,[allow...to*...],允许......做......,"The paintings were located where many people could easily see them, allowing groups of people to participate in the magical-religious activities"
allude to sb./sth.,[əˈlud tɪ sb./sth*.],暗指；间接提到,
along with,[əˈlɔŋ wɪθ],沿（顺）着；连同......一起；与......一道；除了......,"During a geologically brief 100-million-year period, all modern animal  groups (along with other animals that are now extinct) evolved"
amount to,[əˈmaʊnt tɪ],总计；总数为,"I mean, this method is not only costly but it's … well even if it's successful, it still fails to address the ongoing problem, the root causes of the degradation, which really is paramount to devising an effective solution"
amounts of,[əˈmaʊnts əv],大量的,The North Slope of Alaska has substantial amounts of oil
an abundance of,[ən əˈbəndəns əv],大量的,"[F] Although the reasons for the rapid evolution of animals during the Cambrian period are not  known, one proposed explanation is an abundance of niches with a lack of competitors"
an account of,[ən əˈkaʊnt əv],描述；记录,
an array of,[ən əreɪ əv],一系列；大量；一排,"At the site in Kuk, they used an array of modern archaeological methods to analyze sediment samples from the soil, from the oldest soil layer, dating back ten thousand years, they found evidence of pits, stake coals and ditches"
and so forth,[ənd soʊ fɔrθ],等等；诸如此类,"The computer is in continuous contact with a global positioning system and other technologies that will provide extremely accurate information about the location of the car, other cars on the road, congestion, accidents, and so forth"
anything but,[ˈɛniˌθɪŋ bət],除......以外任何事物都；根本不,But I'm gonna show you some slides in a few minutes and I think you will agree with me that this art is anything but primitive
apart from,[əˈpɑrt frəm],远离；除......之外,"He does provide a reason for his opinion that children should be able to watch whatever they want: that they can tell real things apart from ""not real things"
appeal to,[əˈpil tɪ],对（某人）有吸引力；向......上诉；恳求,"A commercia l  shown during young people's programming, such  as a music show, would appeal to their interests,  and would show how the phone is fun"
approve of,[əˈpruv əv],赞成；批准,Most artists approve of the ways in which the government supports the arts
argue against,[ˈɑrgju əˈgɛnst],反对,To argue against the hypothesis that yawning provides a special way to improve alertness or raise physiological activity
arise from,[əraɪz frəm],由......引起；起因于,
around the corner,[əraʊnd ðə ˈkɔrnər],即将来临；在附近,"For instance, suppose you say you would really love to have a cup of coffee right now, and I say 'there's a shop around the corner'"
as...as possible,[as...as* ˈpɑsəbəl],尽可能,"When the preparation time is up, answer the question as completely as possible in the time indicated for that question"
as a consequence,[ɛz ə ˈkɑnsəkwəns],因此；结果,"If you agree with the stateme nt and believe that technology stifles children's creativit y, you might support that by explaining how the computer keeps kids in the home and away from other kids; the abilit y to deploy communication skills in face-to-face situations, suffers as a consequence, and this in turn hinders the development of creativit y"
as a matter of fact,[ɛz ə ˈmætər əv fækt],事实上,"Professor Well, as a matter of fact, a lot of politicians who did not believe in government support for the arts, they wanted to do away with the agency entirely, for that very reason, to get rid of governmental support"
as a rule,[ɛz ə rul],通常；照例,
as a whole,[ɛz ə hoʊl],总的来说；作为整体,A mandatory policy requiring companies to offer their employees the option of working a four-day workweek for four-fifths (80 percent) of their normal pay would benefit the economy as a whole as well as the individual companies and the employees who decided to take the option
as follows,[ɛz ˈfɑloʊz],如下,Use of the land in natural areas follows a consistent pattern but is generally unplanned
as for,[ɛz fər],关于；至于,"The final step came when steam was introduced into  the cylinder to drive the piston backward as well as forward, thereby increasing the speed of the  engine and cutting its fuel consumption"
as if/though,[ɛz if/though*],好像；仿佛,
as long as,[ɛz lɔŋ ɛz],只要；如果；既然,You can skip questions and go back to them later as long as there is time remaining
as opposed to,[ɛz əˈpoʊzd tɪ],与......截然相反；相对于,"There appear to be many unexplored matters about the motivation to reflect-for example, the value of externally motivated reflection as opposed to that of teachers who might reflect by habit"
as regards,[ɛz rɪˈgɑrdz],至于；关于,It was regards as unnecessary for texts that were actively being used
as soon as,[ɛz sun ɛz],一......就......,"Speculation on the origin of these Pacific islanders began as soon as outsiders encountered  them; in the absence of solid linguistic, archaeological, and biological data, many fanciful and  mutually exclusive theories were devised"
as such,[ɛz səʧ],同样地；本身；就其本身而论,""" Park and Burgess based their model of urban growth on the concept of ""natural areas""­that is, areas such as occupational suburbs or residentia l enclaves in which the population is relatively homogene ous and land is used in similar ways without deliberate planning"
as well,[ɛz wɛl],也,[A] Petroleum formation is the result of biological as well as chemical activity
as well as,[ɛz wɛl ɛz],也；和......一样；不但......而且......,[A] Petroleum formation is the result of biological as well as chemical activity
aside from,[əˈsaɪd frəm],除......以外,
ask...over,[ask...over*],邀清......来家里,The development of the oil field on the North Slope of Alaska and the construction of the Alaska pipeline are examples of the great expense and difficulty involved in new oil discoveries
ask around,[æsk əraʊnd],四处打听,
assign...to...,[assign...to*...],将......分配给......；指定......给,"At one time, the animals present in these fossil beds were assigned to various  modern animal groups, but most paleontologists now agree that all Tommotian fossils represent  unique body forms that arose in the early Cambrian period and disappeared before the end of the  period, leaving no descendants in modern animal groups"
assist in,[əˈsɪst ɪn],协助；帮助,"Long and often lyrical descriptions of the different types of ware exist that assist in classifying pots, although these sometimes confuse an already large and complicated picture"
at a loss,[æt ə lɔs],困惑；不知所措,
at all costs,[æt ɔl kɔsts], 不惜任何代价；无论如何,
at all events,[æt ɔl ɪˈvɛnts], 无论如何,
at an average of,[æt ən ˈævərɪʤ əv],平均,
at any rate,[æt ˈɛni reɪt],无论如何；不管怎样；反正,
at cost,[æt kɔst],按成本；照原价,"Task 6 If a consumer has to choose between two products, what determines the choice? Assume that someone, a purchaser, is choosing between two products that cost the same"
at distance,[æt ˈdɪstəns],在远处,Further evidence for persistent internal rhythms appears when the usual external cycles are shifted-either experimentally or by rapid east-west travel over great distances
at ease,[æt iz],女逸；自由自在,
at every turn,[æt ˈɛvəri tərn],每次；处处；总是,
at first glance,[æt fərst glæns],第一眼；乍一看,Much of the potential for European economic development lay in what at first glance would seem to have been only sleepy villages
at hand,[æt hænd],在手边；即将到来,"These  problems needed still another solution, and the ingredients for it lay close at hand"
at intervals,[æt ˈɪntərvəlz],时时；不时；每隔一段距离（或时间）,
at issue,[æt ˈɪʃu],在讨论中；有待解决,So I think it's safe to say that that issues has been settled
at large,[æt lɑrʤ],详尽的；未被捕的；整个的；一般的,"It may sound plausible that large empty rooms were used for storage, but excavations of the great houses have not uncovered many traces of maize or maize containers"
at last,[æt læst],最后；最终,that lasts only brie fly
at least,[æt list],至少；不管怎样；无论如何,"The early Australians may have painted on the walls of rock shelters and cliff faces at least 30,000 years ago, and maybe as much as 60,000 years ago"
at length,[æt lɛŋθ],最后；终于；详细地,"Well, over that length of time, forecasts become more uncertain"
at most,[æt moʊst],至多,She is frustrated that most of her students are unaware of the phenomenon
at no time,[æt noʊ taɪm],从不；绝不,
at odds (with),[æt ɑdz (wɪθ)],（与......）不一致；（与......）有矛盾,
at once,[æt wəns],同时；立刻,He put the device to astronomical use at once
at one point,[æt wən pɔɪnt],一度；在某处；在某种程度上；在某一时刻,"For example, one major discovery was that at one point water was present on Mars"
at one time,[æt wən taɪm],同时；曾经；一度,process a lot of information at one time
at one's convenience,[æt wənz kənˈvinjəns],在某人方便时,"Research shows that consumers don't want to let go off any traditional product attributes, like convenience, price and quality"
at one's disposal,[æt wənz dɪˈspoʊzəl],供某人使用；由某人支配,The kings of France used every means at their disposal to push the lower border of their kingdom to the Mediterranean shoreline
at one's expense,[æt wənz ɪkˈspɛns],由某人付费,"The department has decided that despite some added expense, the most cost-effective way of addressing this problem is by adding computer classes in the evening"
at random,[æt ˈrændəm],胡乱地；随机地,Spores light enough to float on the breezes were carried thousands of miles from more ancient lands and deposited at random across the bare mountain flanks
at stake,[æt steɪk],处于危险境地；处于成败关头,The only thing at stake is your grade
at the beginning of,[æt ðə bɪˈgɪnɪŋ əv],起初；在......的开始,"According to paragraph 1, which of the following best characterizes the societies in European lands close to the Mediterranean Sea at the beginning of the twelfth century?"
at the edge of,[æt ðə ɛʤ əv],在......的边缘,"They found this site at the edge of a desert in Turkmenistan, in central Asia, where a series of mounds rise up from the plains"
at the end of,[æt ðə ɛnd əv],在......的尽头；在......结束时,"Starting this year, the university dining hall will be transformed into The Campus Dining  Club for one week at the end of each semester"
at the expense/cost of,[æt ðə expense/cost* əv],以......为代价,
at the forefront of,[æt ðə ˈfɔrˌfrənt əv],处于最前沿,
at the mercy of,[æt ðə ˈmərsi əv],受......支配；受......摆布,"If true, though, why did cold-blooded animals such as snakes, lizards, turtles, and crocodiles survive the freezing winters and torrid summers? These animals are at the mercy of the climate to maintain a livable body temperature"
at the outset,[æt ðə ˈaʊtˌsɛt],一开始；当初,
at the thought of,[æt ðə θɔt əv],一想到,
at the top of,[æt ðə tɔp əv],在顶部,And you probably notice that there's an abstract or summary at the top of the first page of the article you copied
at this point,[æt ðɪs pɔɪnt],这时候；此时此刻；在这一点上,Another seemingly plausible explanation-that infants do  not form enduring memories at this point in development-also is incorrect
at times,[æt taɪmz],有时；偶尔,"He does speak very quickly at times, but he shows that he is able to communicate without too many pauses to search for words"
at will,[æt wɪl],随意；任意,"The  school feels that this will give students who are studying cooking and food preparation  valuable experience that will help them later, when they pursue careers"
at work,[æt wərk],在工作；运转中；起着作用,"The response begins by examining some different purposes of acquiring knowledge and identities different areas or aspects of life in which we use knowledge, and then goes on to acknowledge that while acquiring specialized knowledge is useful for success at work or school, it is the other type of knowledge, broad knowledge, which is best to have"
attach importance to,[əˈtæʧ ˌɪmˈpɔrtəns tɪ],重视,
attest to,[əˈtɛst tɪ],证明,"I mean, I can attest to that"
attract one's attention,[əˈtrækt wənz əˈtɛnʃən],引起某人的注意,Begging by nestling birds can attract the attention of predators to the nest
attribute...to...,[attribute...to*...],将.......归因于......,"[F] Galileo's Sidereus Nuncius was greeted with skepticism by critics, who attributed his ""discoveries"" to flaws in his telescope or to disturbances in the atmosphere"
back and forth,[bæk ənd fɔrθ],反复地；来回地,"In the 1760s, James Watt  perfected a separate condenser for the steam, so that the cylinder did not have to be cooled at  every stroke; then he devised a way to make the piston turn a wheel and thus convert reciprocating  (back and forth) motion into rotary motion"
back away,[bæk əˈweɪ],不再支持：逐渐退出；退缩,
back down,[bæk daʊn],放弃（主张、要求、承诺等）；让步；退让,I guess I should head back down to the dorm right now then
back off,[bæk ɔf], 后退；放弃；让步；滚开,
back up,[bæk əp], 支持；备份；证实；往后退,"Furthermore, one sensory ability may back up another"
bargain for,[ˈbɑrgɪn fər], 预料到；指望；讲价,
be about to do sth.,[bi əˈbaʊt tɪ du sth*.],将要做某事；打算做某事,To indicate that he is about to explain what type of drawing he wants
be absent from,[bi ˈæbsənt frəm],缺席；没到场；没参加,
be absorbed by,[bi əbˈzɔrbd baɪ],被......吸收,
be absorbed in,[bi əbˈzɔrbd ɪn], 专心于；全神贯注于；被吸收,
be accentuated by,[bi ækˈsɛnʧuˌeɪtɪd baɪ],强调；加重；由于......而显得突出,
be accessible to,[bi ækˈsɛsəbəl tɪ],可接近的,"The uneven pattern of sea otter decline can be explained by the fact that some locations where sea otters live are accessible to areas and some are not; the accessible areas experience decline, while the populations in the inaccessible areas remain steady"
be accompanied by,[bi əˈkəmpənid baɪ],伴随；附有；带着；相伴而生,
be accountable to,[bi əˈkaʊntəbəl tɪ],对......负有责任,
be accustomed to,[bi əˈkəstəmd tɪ],习惯于,To acknowledge that she is accustomed to living in big cities
be adequate for,[bi ˈædəkˌweɪt fər],适合；对......来说足够,
be adjacent to,[bi əˈʤeɪsənt tɪ],与.........毗连,
be allocated to,[bi ˈæləˌkeɪtɪd tɪ],分配给,
be applicable to,[bi ˈæpləkəbəl tɪ],适用于,[E] The model is applicable to cities that grow by attracting large numbers of workers to centrally located businesses
be armed with,[bi ɑrmd wɪθ],用......武装；装备......,
be ashamed of,[bi əˈʃeɪmd əv],为......感到羞愧,
be assembled by,[bi əˈsɛmbəld baɪ],通过......联合；聚集,
be associated with,[bi əˈsoʊʃiˌeɪtəd wɪθ],与......有关系,
be attractive to,[bi əˈtræktɪv tɪ],对......具有吸引力,
be aware of,[bi əˈwɛr əv],意识到,Sometimes our perception of these stimuli occurs consciously; we are aware of a stimulus and know that we are perceiving it
be based on,[bi beɪst ɔn],以......为基础,"Much of the research on nutrient deficiencies is based on growing plants hydroponically, that  is, in soilless liquid nutrient solutions"
be beneficial to,[bi ˌbɛnəˈfɪʃəl tɪ],对......有益,
be better off,[bi ˈbɛtər ɔf],情况好转,
be biased against,[bi baɪəst əˈgɛnst],对......有偏见,
be bombarded with,[bi bɑmˈbɑrdɪd wɪθ],被......围攻,
be born in,[bi bɔrn ɪn],出生在,"In 1769 in a little town in Oxfordshire, England, a child with the very ordinary name of William  Smith was born into the poor family of a village blacksmith"
be born with,[bi bɔrn wɪθ],天生具有,
be bound to,[bi baʊnd tɪ],必定会；一定要,This fact is bound to lead publishers to invest less in literature and so support fewer serious writers
be bound up with,[bi baʊnd əp wɪθ],与......有密切关系,
be capable of,[bi ˈkeɪpəbəl əv],能够,"If this is true, it would mean that Upper Paleolithic people were capable of complex thought and were consciously aware of their environment"
be certain of,[bi ˈsərtən əv],对......有把握；确信,
be characterized by,[bi ˈkɛrɪktərˌaɪzd baɪ],以......特征,"In the early twentieth century, many sociologists lived in cities like Chicago that were characterized by rapid population growth and serious social problems"
be comfortable with,[bi ˈkəmfərtəbəl wɪθ],对......感到舒服,
be compatible with,[bi kəmˈpætəbəl wɪθ],一致；适合；与......兼容,
be composed of,[bi kəmˈpoʊzd əv],由......组成,
be comprised of,[bi kəmˈpraɪzd əv],包括；包含；由......組成,
be concerned about,[bi kənˈsərnd əˈbaʊt],担心；担忧；关心,She is concerned about the quantity of phospho rus entering the waterways
be concerned with,[bi kənˈsərnd wɪθ],关心；涉及,
be conducive to,[bi kənˈdusɪv tɪ],有利于,
be confident in,[bi ˈkɑnfədənt ɪn],对......有信心,
be confronted with,[bi kənˈfrəntɪd wɪθ],面临,
be conscious of,[bi ˈkɑnʃəs əv],意识到；注意到；在意,
be consistent with,[bi kənˈsɪstənt wɪθ],与......一致,"Thus, the paintings are consistent with the idea that the art is related to the importance of hunting in the economy of Upper Paleolithic people"
be content with,[bi ˈkɑntɛnt wɪθ],满足于,
be correlated with,[bi ˈkɔrəˌleɪtəd wɪθ],与......有关,
be covered with,[bi ˈkəvərd wɪθ],被......覆盖；充满.,
be credited with,[bi ˈkrɛdɪtɪd wɪθ],被誉为......；把......归功于,
be critical of,[bi ˈkrɪtɪkəl əv],对......挑剔；批判,
be crowded with,[bi ˈkraʊdɪd wɪθ],挤满,
be crucial to,[bi ˈkruʃəl tɪ],对......至关重要,
be curious about,[bi ˈkjʊriəs əˈbaʊt],对......感到好奇,
be deemed as,[bi dimd ɛz],被视为；被认为是,
be deficient in,[bi dɪˈfɪʃənt ɪn],缺少；缺乏,"So-called serpentine soils, for example, are deficient in calcium,  and only plants able to tolerate low levels of this mineral can survive"
be defined as,[bi dɪˈfaɪnd ɛz],被定为,
be dependent on/upon,[bi dɪˈpɛndənt on/upon*],取决于,
be designed to do sth.,[bi dɪˈzaɪnd tɪ du sth*.],旨在；目的是,"For example, the success of a popular children's television show may result in the marketin g of toys that are designed to look like characters in the show"
be determined by,[bi dɪˈtərmənd baɪ],由......決定,The location is determined by the country of origin of a tale
be different from,[bi ˈdɪfərənt frəm],与......不同,is different from cooking for classmates
be dissatisfied with,[bi dɪˈsætəsˌfaɪd wɪθ],对......不満意,
be distant from,[bi ˈdɪstənt frəm],远离,
be distinct from,[bi dɪˈstɪŋkt frəm],与......不同,
be dominated by,[bi ˈdɑməˌneɪtəd baɪ],被......统治；占主导地位,
be doubtful about,[bi ˈdaʊtfəl əˈbaʊt],怀疑,
be drawn to,[bi drɔn tɪ],沉浸于；沉迷于；被......吸引,
be driven by,[bi ˈdrɪvən baɪ],被......驱使,"Normally, the constantly changing levels of an animal's activity-sleeping, feeding, moving, reproducin g, metabolizing, and producing enzymes and hormones, for example-are well coordinated with environmental rhythms, but the key question is whether the animal's schedule is driven by external cues, such as sunrise or sunset, or is instead dependent somehow on internal timers that themselve s generate the observed biological rhythms"
be eager to do sth.,[bi ˈigər tɪ du sth*.], 渴望做某事,
be easy of access,[bi ˈizi əv ˈækˌsɛs],易于接近,
be eligible for,[bi ˈɛlɪʤəbəl fər],有资格的,
be engaged in,[bi ɪnˈgeɪʤd ɪn],忙于,
be entangled in,[bi ɛnˈtæŋgəld ɪn],被卷入；陷入,
be enthusiastic about,[bi ɪnˌθuziˈæstɪk əˈbaʊt],热衷于；对........有热情,
be entitled to,[bi ɛnˈtaɪtəld tɪ],有权（或资格）做（某事）,
be entwined in,[bi ɛntˈwaɪnd ɪn],与......纠缠；卷入,
be envious of,[bi ˈɛnviəs əv],羨慕；嫉妒,
be equal to,[bi ˈikwəl tɪ],与......相等；等于,
be equipped with,[bi ɪkˈwɪpt wɪθ],配备......,"In some angiosperms the seeds are equipped with gossamer wings, like the dandelion and milkweed seeds"
be equivalent to,[bi ɪkˈwɪvələnt tɪ],等于；相当于,
be essential to,[bi ɛˈsɛnʃəl tɪ],对......是不可少的,
be excited about,[bi ɪkˈsaɪtɪd əˈbaʊt],对......感到兴奋,
be exposed to,[bi ɪkˈspoʊzd tɪ],暴露于；使处于,
be faced with,[bi feɪst wɪθ],面临；面对......的影响之下,
be familiar with,[bi fəˈmɪljər wɪθ],对......熟悉,To explain why she is familiar with Cape Cod houses
be fascinated by,[bi ˈfæsəˌneɪtɪd baɪ],被......迷住,
be favorable for,[bi ˈfeɪvərəbəl fər],有利于......,
be fed up with,[bi fɛd əp wɪθ],（对......）感到厌烦,
be filled with,[bi fɪld wɪθ],充満......,"Also, because the whole front of the building is made of glass windows, the lobby is filled with natural light"
be fond of,[bi fɑnd əv],喜欢,
be free to do sth.,[bi fri tɪ du sth*.],自由地去做某事,
be grounded in,[bi ˈgraʊndɪd ɪn],以......为基础；以......为根据,
be harmful to,[bi ˈhɑrmfəl tɪ],对.......有害,
be home to,[bi hoʊm tɪ],为......的所在地,
be identical to/with,[bi aɪˈdɛntɪkəl to/with*],与......相同,
be immersed in,[bi ˌɪˈmərst ɪn],陷于；沉浸于；沉没于,
be immune to,[bi ˌɪmˈjun tɪ],对......有免疫力；不受......影响,
be inaccessible to,[bi ˌɪnəkˈsɛsəbəl tɪ],达不到的,
be inclined to,[bi ˌɪnˈklaɪnd tɪ],倾向于......,
be inclusive of,[bi ˌɪnˈklusɪv əv],把......包括在内,
be incompetent to,[bi ˌɪnˈkɑmpətənt tɪ],不能胜任,
be incorporated into,[bi ˌɪnˈkɔrpərˌeɪtɪd ˈɪntu],使成为......的一部分；使并入,
be indicative of,[bi ˌɪnˈdɪkətɪv əv],预示；表明,
be indifferent to,[bi ˌɪnˈdɪfərənt tɪ],对......冷漠；对......不在乎,
be indispensable to/for,[bi ˌɪndɪˈspɛnsəbəl to/for*],对......来说必不可少,
be inferior/secondary to,[bi inferior/secondary* tɪ],次于,
